"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1","16/08/2019","Ath Bilbao","Barcelona",1,0,"H"
"2","17/08/2019","Celta","Real Madrid",1,3,"A"
"3","17/08/2019","Valencia","Sociedad",1,1,"D"
"4","17/08/2019","Mallorca","Eibar",2,1,"H"
"5","17/08/2019","Leganes","Osasuna",0,1,"A"
"6","17/08/2019","Villarreal","Granada",4,4,"D"
"7","18/08/2019","Alaves","Levante",1,0,"H"
"8","18/08/2019","Espanol","Sevilla",0,2,"A"
"9","18/08/2019","Betis","Valladolid",1,2,"A"
"10","18/08/2019","Ath Madrid","Getafe",1,0,"H"
"11","23/08/2019","Granada","Sevilla",0,1,"A"
"12","23/08/2019","Levante","Villarreal",2,1,"H"
"13","24/08/2019","Osasuna","Eibar",0,0,"D"
"14","24/08/2019","Real Madrid","Valladolid",1,1,"D"
"15","24/08/2019","Celta","Valencia",1,0,"H"
"16","24/08/2019","Getafe","Ath Bilbao",1,1,"D"
"17","25/08/2019","Alaves","Espanol",0,0,"D"
"18","25/08/2019","Mallorca","Sociedad",0,1,"A"
"19","25/08/2019","Leganes","Ath Madrid",0,1,"A"
"20","25/08/2019","Barcelona","Betis",5,2,"H"
"21","30/08/2019","Sevilla","Celta",1,1,"D"
"22","30/08/2019","Ath Bilbao","Sociedad",2,0,"H"
"23","31/08/2019","Osasuna","Barcelona",2,2,"D"
"24","31/08/2019","Getafe","Alaves",1,1,"D"
"25","31/08/2019","Levante","Valladolid",2,0,"H"
"26","31/08/2019","Betis","Leganes",2,1,"H"
"27","01/09/2019","Valencia","Mallorca",2,0,"H"
"28","01/09/2019","Ath Madrid","Eibar",3,2,"H"
"29","01/09/2019","Espanol","Granada",0,3,"A"
"30","01/09/2019","Villarreal","Real Madrid",2,2,"D"
"31","13/09/2019","Mallorca","Ath Bilbao",0,0,"D"
"32","14/09/2019","Real Madrid","Levante",3,2,"H"
"33","14/09/2019","Leganes","Villarreal",0,3,"A"
"34","14/09/2019","Sociedad","Ath Madrid",2,0,"H"
"35","14/09/2019","Barcelona","Valencia",5,2,"H"
"36","15/09/2019","Eibar","Espanol",1,2,"A"
"37","15/09/2019","Alaves","Sevilla",0,1,"A"
"38","15/09/2019","Celta","Granada",0,2,"A"
